pad,well,event_type,timestamp,produced_gas_value
105,105W03,105W03 NFE,2025-08-11 13:49:00,132.74349975585938
105,105W14,105W14 start,2025-08-11 16:31:00,118.69564819335938
105,105W14,105W14 trip,2025-08-11 17:07:00,118.69564819335938
105,105W03,105W03 trip,2025-08-11 18:25:00,133.37110900878906
105,105W18,105W18 trip,2025-08-11 18:31:00,150.3433380126953
105,105W03,105W03 start,2025-08-11 18:55:00,112.6244659423828
105,105W18,105W18 start,2025-08-11 18:55:00,151.14585876464844
105,105W18,105W18 trip,2025-08-11 19:37:00,151.14585876464844
105,105W03,105W03 trip,2025-08-11 21:43:00,172.68539428710938
105,105W03,105W03 start,2025-08-12 07:19:00,131.06546020507812
105,105W11,105W11 NFE,2025-08-14 07:25:00,131.06546020507812
105,105W17,105W17 trip,2025-08-14 18:01:00,116.55413818359376
105,105W17,105W17 start,2025-08-15 03:55:00,131.22998046875
105,105W17,105W17 trip,2025-08-15 04:07:00,131.22998046875
105,105W07,105W07 trip,2025-08-15 06:49:00,0.0643851682543754
105,105W07,105W07 trip,2025-08-15 07:13:00,131.8679962158203
105,105W07,105W07 start,2025-08-15 10:07:00,113.37836456298828
105,105W07,105W07 start,2025-08-15 10:13:00,137.30545043945312
105,105N03,105N03 trip,2025-08-15 19:55:00,137.30545043945312
105,105N03,105N03 start,2025-08-15 20:01:00,152.83676147460938
105,105W07,105W07 NFE,2025-08-16 00:49:00,152.83676147460938
105,105N05,105N05 NFE,2025-08-16 07:07:00,126.75955200195312
105,105W07,105W07 start,2025-08-16 09:07:00,161.84768676757812
105,105W07,105W07 start,2025-08-16 09:13:00,136.89202880859375
105,105N01,105N01 NFE,2025-08-16 13:55:00,136.89202880859375
105,105N01,105N01 trip,2025-08-16 21:31:00,144.4981689453125
105,105N01,105N01 start,2025-08-17 07:31:00,109.67469787597656
105,105N01,105N01 NFE,2025-08-17 12:07:00,109.67469787597656
105,105W07,105W07 NFE,2025-08-17 13:19:00,162.79327392578125
105,105W07,105W07 trip,2025-08-17 21:13:00,165.0735321044922
105,105N01,105N01 trip,2025-08-18 02:49:00,135.8906707763672
105,105W07,105W07 start,2025-08-18 07:49:00,154.91531372070312
105,105N01,105N01 start,2025-08-18 08:37:00,172.61672973632812
105,105N03,105N03 trip,2025-08-18 10:13:00,172.61672973632812
105,105N03,105N03 start,2025-08-18 10:19:00,112.57295989990234
106,106W8,106W8 NFE,2025-08-11 06:01:00,5.21573543548584
106,106W3,106W3 trip,2025-08-11 09:01:00,126.52066040039062
106,106W4,106W4 start,2025-08-11 09:07:00,142.5936279296875
106,106W15,106W15 start,2025-08-11 15:37:00,122.87566375732422
106,106W15,106W15 start,2025-08-11 15:43:00,106.870849609375
106,106W3,106W3 start,2025-08-11 20:01:00,172.68539428710938
106,106W2,106W2 NFE,2025-08-12 00:07:00,137.70314025878906
106,106W2,106W2 trip,2025-08-12 18:37:00,117.41246032714844
106,106W2,106W2 start,2025-08-12 20:37:00,167.93316650390625
106,106W8,106W8 NFE,2025-08-13 10:31:00,121.2319793701172
106,106W15,106W15 NFE,2025-08-14 02:37:00,171.93150329589844
106,106W15,106W15 trip,2025-08-14 12:55:00,118.54402160644533
106,106W15,106W15 start,2025-08-14 14:37:00,0.0543714389204978
106,106W15,106W15 trip,2025-08-14 19:31:00,0.0543714389204978
106,106W15,106W15 start,2025-08-15 06:49:00,184.4229278564453
106,106W15,106W15 NFE,2025-08-15 11:55:00,155.00973510742188
106,106W8,106W8 NFE,2025-08-15 12:31:00,174.2489776611328
106,106W15,106W15 start,2025-08-17 07:31:00,131.7406768798828
106,106W8,106W8 NFE,2025-08-17 15:43:00,130.141357421875
106,106W15,106W15 NFE,2025-08-18 20:01:00,146.65684509277344
106,106W4,106W4 trip,2025-08-19 22:19:00,118.61125183105467
106,106W4,106W4 start,2025-08-19 23:19:00,137.18814086914062
107,7WP05,7WP05 start,2025-08-11 07:37:00,111.07376861572266
107,7WP10,7WP10 NFE,2025-08-11 08:31:00,111.07376861572266
107,7WP05,7WP05 trip,2025-08-11 09:31:00,124.1388168334961
107,7WP12,7WP12 NFE,2025-08-11 11:31:00,190.6185607910156
107,7WP06,7WP06 start,2025-08-11 14:01:00,143.7757568359375
107,7WP05,7WP05 start,2025-08-11 16:01:00,121.37789154052734
107,7WP10,7WP10 trip,2025-08-11 18:19:00,121.37789154052734
107,7WP08,7WP08 trip,2025-08-11 18:19:00,121.37789154052734
107,7WP05,7WP05 trip,2025-08-11 19:31:00,136.21682739257812
107,7WP12,7WP12 start,2025-08-11 20:07:00,197.57667541503903
107,7WP08,7WP08 start,2025-08-11 21:07:00,197.57667541503903
107,7WP10,7WP10 start,2025-08-11 21:07:00,110.2140121459961
107,7WP12,7WP12 NFE,2025-08-12 11:19:00,110.2140121459961
107,7WP05,7WP05 start,2025-08-13 08:19:00,99.18746948242188
107,7WP12,7WP12 trip,2025-08-14 03:31:00,146.66543579101562
107,7WP07,7WP07 NFE,2025-08-16 16:49:00,122.62674713134766
107,7WP07,7WP07 trip,2025-08-16 23:25:00,127.32748413085938
107,7WP07,7WP07 start,2025-08-18 08:13:00,142.87596130371094
107,7WP05,7WP05 NFE,2025-08-19 08:19:00,159.3356475830078
107,7WP12,7WP12 start,2025-08-19 09:43:00,123.83984375
107,7WP05,7WP05 trip,2025-08-19 14:13:00,123.83984375
107,7WP05,7WP05 start,2025-08-19 14:37:00,152.00274658203125
107,7WP07,7WP07 NFE,2025-08-19 22:37:00,150.57078552246094
107,7WP07,7WP07 start,2025-08-20 07:25:00,163.0622100830078
107,7WP05,7WP05 start,2025-08-20 07:25:00,140.096435546875
107,7WP07,7WP07 trip,2025-08-20 07:31:00,140.096435546875
108,108P13,108P13 NFE,2025-08-12 04:25:00,105.3501968383789
108,108P13,108P13 trip,2025-08-13 01:37:00,118.57405090332033
108,108P13,108P13 start,2025-08-13 08:13:00,120.54247283935548
108,108P13,108P13 start,2025-08-13 08:19:00,132.49456787109375
108,108P13,108P13 NFE,2025-08-13 12:37:00,132.49456787109375
108,108P14,108P14 start,2025-08-13 15:49:00,185.01516723632807
108,108P14,108P14 trip,2025-08-13 18:19:00,185.01516723632807
108,108P12,108P12 trip,2025-08-14 02:43:00,137.47569274902344
108,108P14,108P14 trip,2025-08-14 04:01:00,0.007163843140006
108,108P14,108P14 trip,2025-08-14 04:07:00,123.25189208984376
108,108P12,108P12 start,2025-08-14 07:07:00,116.55413818359376
108,108P14,108P14 start,2025-08-14 07:13:00,114.6229248046875
108,108P14,108P14 trip,2025-08-14 08:43:00,114.6229248046875
108,108P14,108P14 trip,2025-08-14 21:31:00,121.32925415039062
108,108P14,108P14 trip,2025-08-14 21:37:00,126.3590087890625
108,108P13,108P13 NFE,2025-08-15 14:13:00,140.02777099609375
108,108P14,108P14 start,2025-08-15 17:01:00,121.5781707763672
108,108P14,108P14 trip,2025-08-15 20:01:00,126.45198822021484
108,108P14,108P14 trip,2025-08-16 02:19:00,137.9506378173828
108,108P14,108P14 start,2025-08-17 13:25:00,142.74864196777344
108,108P14,108P14 start,2025-08-17 13:31:00,161.3012237548828
108,108P14,108P14 trip,2025-08-17 18:07:00,161.3012237548828
108,108P08,108P08 trip,2025-08-17 18:43:00,133.02101135253906
108,108P14,108P14 trip,2025-08-17 22:13:00,134.29132080078125
108,108P04,108P04 start,2025-08-18 06:49:00,144.5682830810547
108,108P08,108P08 start,2025-08-18 08:25:00,129.34596252441406
108,108P12,108P12 NFE,2025-08-19 10:19:00,129.34596252441406
108,108P08,108P08 trip,2025-08-19 18:13:00,114.64437866210938
116,16WP13,16WP13 NFE,2025-08-11 11:01:00,120.10042572021484
116,16WP18,16WP18 trip,2025-08-11 15:19:00,148.32769775390625
116,16WP13,16WP13 trip,2025-08-11 15:19:00,148.32769775390625
116,16WP18,16WP18 trip,2025-08-11 15:25:00,161.68316650390625
116,16WP13,16WP13 trip,2025-08-11 15:25:00,161.68316650390625
116,16WP13,16WP13 start,2025-08-11 19:37:00,151.14585876464844
116,16WP18,16WP18 start,2025-08-11 19:37:00,163.8489990234375
116,16WP18,16WP18 start,2025-08-11 19:43:00,163.8489990234375
116,16WP13,16WP13 start,2025-08-11 19:43:00,119.71990966796876
116,16WP13,16WP13 NFE,2025-08-11 21:19:00,119.71990966796876
116,16WP03,16WP03 trip,2025-08-11 23:55:00,113.48851776123048
116,16WP03,16WP03 start,2025-08-12 07:19:00,145.26637268066406
116,16WP03,16WP03 NFE,2025-08-12 07:31:00,145.26637268066406
116,16WP03,16WP03 trip,2025-08-12 12:49:00,115.6242904663086
116,16WP11,16WP11 trip,2025-08-14 06:19:00,137.734619140625
116,16WP16,16WP16 trip,2025-08-14 06:19:00,137.734619140625
116,16WP11,16WP11 start,2025-08-14 13:07:00,119.7213363647461
116,16WP16,16WP16 start,2025-08-14 13:07:00,150.2160186767578
116,16WP03,16WP03 start,2025-08-14 20:07:00,117.3681182861328
116,16WP05,16WP05 start,2025-08-14 20:43:00,152.80958557128906
116,16WP05,16WP05 trip,2025-08-15 14:31:00,124.9485092163086
